Total: 3924, Complete: 3907, Success: 3647, Failed: 260, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 3996, Complete: 3976, Success: 3711, Failed: 265, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 4086, Complete: 4066, Success: 3793, Failed: 273, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 4151, Complete: 4135, Success: 3858, Failed: 277, Pending: 16, Success Rate: 93%, Rate: 7 req/sec
Total: 4230, Complete: 4208, Success: 3927, Failed: 281, Pending: 22, Success Rate: 93%, Rate: 7 req/sec
Total: 4289, Complete: 4269, Success: 3985, Failed: 284, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 4370, Complete: 4350, Success: 4063, Failed: 287, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 4455, Complete: 4437, Success: 4138, Failed: 299, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 4510, Complete: 4489, Success: 4183, Failed: 306, Pending: 21, Success Rate: 93%, Rate: 7 req/sec
Total: 4574, Complete: 4551, Success: 4239, Failed: 312, Pending: 23, Success Rate: 93%, Rate: 7 req/sec
Total: 4648, Complete: 4628, Success: 4313, Failed: 315, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 4728, Complete: 4710, Success: 4387, Failed: 323, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 4816, Complete: 4804, Success: 4475, Failed: 329, Pending: 12, Success Rate: 93%, Rate: 7 req/sec
Total: 4903, Complete: 4891, Success: 4552, Failed: 339, Pending: 12, Success Rate: 93%, Rate: 7 req/sec
Total: 4991, Complete: 4972, Success: 4628, Failed: 344, Pending: 19, Success Rate: 93%, Rate: 7 req/sec
Total: 5072, Complete: 5052, Success: 4705, Failed: 347, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 5132, Complete: 5108, Success: 4760, Failed: 348, Pending: 24, Success Rate: 93%, Rate: 7 req/sec
Total: 5191, Complete: 5173, Success: 4822, Failed: 351, Pending: 18, Success Rate: 93%, Rate: 7 req/sec
Total: 5260, Complete: 5243, Success: 4880, Failed: 363, Pending: 17, Success Rate: 93%, Rate: 7 req/sec
Total: 5341, Complete: 5318, Success: 4950, Failed: 368, Pending: 23, Success Rate: 93%, Rate: 7 req/sec
